county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Falls,101,Registered Voters,,,,704,,,
Falls,101,Ballots Cast,,,,322,,,
Falls,101,President,,REP,Donald J. Trump JD Vance,170,5,124,41
Falls,101,President,,DEM,Kamala D. Harris Tim Walz,146,6,92,48
Falls,101,President,,LIB,Chase Oliver Mike ter Maat,2,0,2,0
Falls,101,President,,GRN,Jill Stein Rudolph Ware,2,0,0,2
Falls,101,President,,,Under Votes,1,0,1,0
Falls,101,President,,,Over Votes,1,0,1,0
Falls,101,U.S. Senate,,REP,Ted Cruz,160,5,118,37
Falls,101,U.S. Senate,,DEM,Colin Allred,147,5,94,48
Falls,101,U.S. Senate,,LIB,Ted Brown,11,0,7,4
Falls,101,U.S. Senate,,,Under Votes,3,1,0,2
Falls,101,U.S. Senate,,,Over Votes,1,0,1,0
Falls,101,U.S. House,17,REP,Pete Sessions,173,5,129,39
Falls,101,U.S. House,17,DEM,Mark Lorenzen,142,6,88,48
Falls,101,U.S. House,17,,Under Votes,7,0,3,4
Falls,101,U.S. House,17,,Over Votes,0,0,0,0
Falls,101,Railroad Commissioner,,REP,Christi Craddick,161,5,122,34
Falls,101,Railroad Commissioner,,DEM,Katherine Culbert,138,5,88,45
Falls,101,Railroad Commissioner,,LIB,Hawk Dunlap,6,0,3,3
Falls,101,Railroad Commissioner,,GRN,Eddie Espinoza,8,0,3,5
Falls,101,Railroad Commissioner,,,Under Votes,7,0,3,4
Falls,101,Railroad Commissioner,,,Over Votes,2,1,1,0
Falls,101,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,165,5,123,37
Falls,101,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,147,6,91,50
Falls,101,"Justice, Supreme Court, Place 2",2,,Under Votes,10,0,6,4
Falls,101,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0
Falls,101,"Justice, Supreme Court, Place 4",4,REP,John Devine,159,5,120,34
Falls,101,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,152,6,95,51
Falls,101,"Justice, Supreme Court, Place 4",4,,Under Votes,11,0,5,6
Falls,101,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0
Falls,101,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,156,5,116,35
Falls,101,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,146,6,94,46
Falls,101,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,10,0,5,5
Falls,101,"Justice, Supreme Court, Place 6",6,,Under Votes,10,0,5,5
Falls,101,"Justice, Supreme Court, Place 6",6,,Over Votes,0,0,0,0
Falls,101,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,162,5,120,37
Falls,101,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,147,6,94,47
Falls,101,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,13,0,6,7
Falls,101,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
Falls,101,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,166,5,123,38
Falls,101,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,146,6,92,48
Falls,101,"Judge, Court of Criminal Appeals, Place 7",7,,Under Votes,10,0,5,5
Falls,101,"Judge, Court of Criminal Appeals, Place 7",7,,Over Votes,0,0,0,0
Falls,101,"Judge, Court of Criminal Appeals, Place 8",8,REP,Lee Finley,167,5,123,39
Falls,101,"Judge, Court of Criminal Appeals, Place 8",8,DEM,Chika Anyiam,141,6,90,45
Falls,101,"Judge, Court of Criminal Appeals, Place 8",8,,Under Votes,13,0,7,6
Falls,101,"Judge, Court of Criminal Appeals, Place 8",8,,Over Votes,1,0,0,1
Falls,101,"Member, State Board of Education, District 10",10,REP,Tom Maynard,166,5,127,34
Falls,101,"Member, State Board of Education, District 10",10,DEM,Raquel Saenz Ortiz,143,6,87,50
Falls,101,"Member, State Board of Education, District 10",10,,Under Votes,13,0,6,7
Falls,101,"Member, State Board of Education, District 10",10,,Over Votes,0,0,0,0
Falls,101,State Representative,13,REP,Angelia Orr,168,5,125,38
Falls,101,State Representative,13,DEM,Albert Hunter,144,5,92,47
Falls,101,State Representative,13,,Under Votes,10,1,3,6
Falls,101,State Representative,13,,Over Votes,0,0,0,0
Falls,101,"Chief Justice, 10th Court of Appeals District",,REP,Matt Johnson,213,7,158,48
Falls,101,"Chief Justice, 10th Court of Appeals District",,,Under Votes,109,4,62,43
Falls,101,"Chief Justice, 10th Court of Appeals District",,,Over Votes,0,0,0,0
Falls,101,County Attorney,,REP,Jody Gilliam,197,7,143,47
Falls,101,County Attorney,,,Under Votes,125,4,77,44
Falls,101,County Attorney,,,Over Votes,0,0,0,0
Falls,101,Sheriff,,REP,Jason Campbell,158,5,119,34
Falls,101,Sheriff,,DEM,Joe Lopez,149,6,94,49
Falls,101,Sheriff,,,Under Votes,15,0,7,8
Falls,101,Sheriff,,,Over Votes,0,0,0,0
Falls,101,County Tax Assessor-Collector,,REP,Kayci Nehring,220,8,158,54
Falls,101,County Tax Assessor-Collector,,,Under Votes,102,3,62,37
Falls,101,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
Falls,101,"County Commissioner, Precinct 1",,REP,Milton Albright,217,8,155,54
Falls,101,"County Commissioner, Precinct 1",,,Under Votes,105,3,65,37
Falls,101,"County Commissioner, Precinct 1",,,Over Votes,0,0,0,0
Falls,101,"Constable, Precinct 1",,REP,Jonathan Shoemaker,209,8,152,49
Falls,101,"Constable, Precinct 1",,,Under Votes,113,3,68,42
Falls,101,"Constable, Precinct 1",,,Over Votes,0,0,0,0
Falls,102,Registered Voters,,,,1021,,,
Falls,102,Ballots Cast,,,,580,,,
Falls,102,President,,REP,Donald J. Trump JD Vance,377,21,259,97
Falls,102,President,,DEM,Kamala D. Harris Tim Walz,195,9,122,64
Falls,102,President,,LIB,Chase Oliver Mike ter Maat,0,0,0,0
Falls,102,President,,GRN,Jill Stein Rudolph Ware,6,1,4,1
Falls,102,President,,,Under Votes,0,0,0,0
Falls,102,President,,,Over Votes,2,0,0,2
Falls,102,U.S. Senate,,REP,Ted Cruz,351,20,248,83
Falls,102,U.S. Senate,,DEM,Colin Allred,211,10,126,75
Falls,102,U.S. Senate,,LIB,Ted Brown,13,0,9,4
Falls,102,U.S. Senate,,,Under Votes,5,1,2,2
Falls,102,U.S. Senate,,,Over Votes,0,0,0,0
Falls,102,U.S. House,17,REP,Pete Sessions,377,20,265,92
Falls,102,U.S. House,17,DEM,Mark Lorenzen,189,9,114,66
Falls,102,U.S. House,17,,Under Votes,14,2,6,6
Falls,102,U.S. House,17,,Over Votes,0,0,0,0
Falls,102,Railroad Commissioner,,REP,Christi Craddick,355,22,249,84
Falls,102,Railroad Commissioner,,DEM,Katherine Culbert,176,7,111,58
Falls,102,Railroad Commissioner,,LIB,Hawk Dunlap,20,0,12,8
Falls,102,Railroad Commissioner,,GRN,Eddie Espinoza,13,0,5,8
Falls,102,Railroad Commissioner,,,Under Votes,16,2,8,6
Falls,102,Railroad Commissioner,,,Over Votes,0,0,0,0
Falls,102,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,372,23,257,92
Falls,102,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,188,7,119,62
Falls,102,"Justice, Supreme Court, Place 2",2,,Under Votes,20,1,9,10
Falls,102,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0
Falls,102,"Justice, Supreme Court, Place 4",4,REP,John Devine,370,22,262,86
Falls,102,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,195,8,117,70
Falls,102,"Justice, Supreme Court, Place 4",4,,Under Votes,15,1,6,8
Falls,102,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0
Falls,102,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,356,22,253,81
Falls,102,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,187,8,113,66
Falls,102,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,19,0,12,7
Falls,102,"Justice, Supreme Court, Place 6",6,,Under Votes,18,1,7,10
Falls,102,"Justice, Supreme Court, Place 6",6,,Over Votes,0,0,0,0
Falls,102,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,366,22,260,84
Falls,102,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,195,8,117,70
Falls,102,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,19,1,8,10
Falls,102,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
Falls,102,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,367,22,258,87
Falls,102,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,191,8,118,65
Falls,102,"Judge, Court of Criminal Appeals, Place 7",7,,Under Votes,22,1,9,12
Falls,102,"Judge, Court of Criminal Appeals, Place 7",7,,Over Votes,0,0,0,0
Falls,102,"Judge, Court of Criminal Appeals, Place 8",8,REP,Lee Finley,372,22,259,91
Falls,102,"Judge, Court of Criminal Appeals, Place 8",8,DEM,Chika Anyiam,181,7,113,61
Falls,102,"Judge, Court of Criminal Appeals, Place 8",8,,Under Votes,27,2,13,12
Falls,102,"Judge, Court of Criminal Appeals, Place 8",8,,Over Votes,0,0,0,0
Falls,102,"Member, State Board of Education, District 10",10,REP,Tom Maynard,367,22,259,86
Falls,102,"Member, State Board of Education, District 10",10,DEM,Raquel Saenz Ortiz,185,6,113,66
Falls,102,"Member, State Board of Education, District 10",10,,Under Votes,28,3,13,12
Falls,102,"Member, State Board of Education, District 10",10,,Over Votes,0,0,0,0
Falls,102,State Representative,13,REP,Angelia Orr,366,20,256,90
Falls,102,State Representative,13,DEM,Albert Hunter,186,10,114,62
Falls,102,State Representative,13,,Under Votes,28,1,15,12
Falls,102,State Representative,13,,Over Votes,0,0,0,0
Falls,102,"Chief Justice, 10th Court of Appeals District",,REP,Matt Johnson,433,24,298,111
Falls,102,"Chief Justice, 10th Court of Appeals District",,,Under Votes,147,7,87,53
Falls,102,"Chief Justice, 10th Court of Appeals District",,,Over Votes,0,0,0,0
Falls,102,County Attorney,,REP,Jody Gilliam,423,25,289,109
Falls,102,County Attorney,,,Under Votes,157,6,96,55
Falls,102,County Attorney,,,Over Votes,0,0,0,0
Falls,102,Sheriff,,REP,Jason Campbell,365,20,256,89
Falls,102,Sheriff,,DEM,Joe Lopez,199,10,119,70
Falls,102,Sheriff,,,Under Votes,16,1,10,5
Falls,102,Sheriff,,,Over Votes,0,0,0,0
Falls,102,County Tax Assessor-Collector,,REP,Kayci Nehring,439,26,296,117
Falls,102,County Tax Assessor-Collector,,,Under Votes,141,5,89,47
Falls,102,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
Falls,102,"County Commissioner, Precinct 1",,REP,Milton Albright,430,24,291,115
Falls,102,"County Commissioner, Precinct 1",,,Under Votes,150,7,94,49
Falls,102,"County Commissioner, Precinct 1",,,Over Votes,0,0,0,0
Falls,102,"Constable, Precinct 1",,REP,Jonathan Shoemaker,421,25,283,113
Falls,102,"Constable, Precinct 1",,,Under Votes,159,6,102,51
Falls,102,"Constable, Precinct 1",,,Over Votes,0,0,0,0
Falls,103,Registered Voters,,,,783,,,
Falls,103,Ballots Cast,,,,534,,,
Falls,103,President,,REP,Donald J. Trump JD Vance,466,15,268,183
Falls,103,President,,DEM,Kamala D. Harris Tim Walz,66,9,37,20
Falls,103,President,,LIB,Chase Oliver Mike ter Maat,2,0,1,1
Falls,103,President,,GRN,Jill Stein Rudolph Ware,0,0,0,0
Falls,103,President,,,Under Votes,0,0,0,0
Falls,103,President,,,Over Votes,0,0,0,0
Falls,103,U.S. Senate,,REP,Ted Cruz,439,15,256,168
Falls,103,U.S. Senate,,DEM,Colin Allred,83,9,45,29
Falls,103,U.S. Senate,,LIB,Ted Brown,8,0,2,6
Falls,103,U.S. Senate,,,Under Votes,4,0,3,1
Falls,103,U.S. Senate,,,Over Votes,0,0,0,0
Falls,103,U.S. House,17,REP,Pete Sessions,466,15,269,182
Falls,103,U.S. House,17,DEM,Mark Lorenzen,61,9,31,21
Falls,103,U.S. House,17,,Under Votes,7,0,6,1
Falls,103,U.S. House,17,,Over Votes,0,0,0,0
Falls,103,Railroad Commissioner,,REP,Christi Craddick,447,14,263,170
Falls,103,Railroad Commissioner,,DEM,Katherine Culbert,56,9,26,21
Falls,103,Railroad Commissioner,,LIB,Hawk Dunlap,18,0,8,10
Falls,103,Railroad Commissioner,,GRN,Eddie Espinoza,3,0,2,1
Falls,103,Railroad Commissioner,,,Under Votes,10,1,7,2
Falls,103,Railroad Commissioner,,,Over Votes,0,0,0,0
Falls,103,"Justice, Supreme Court, Place 2",2,REP,Jimmy Blacklock,461,14,267,180
Falls,103,"Justice, Supreme Court, Place 2",2,DEM,DaSean Jones,60,9,30,21
Falls,103,"Justice, Supreme Court, Place 2",2,,Under Votes,13,1,9,3
Falls,103,"Justice, Supreme Court, Place 2",2,,Over Votes,0,0,0,0
Falls,103,"Justice, Supreme Court, Place 4",4,REP,John Devine,454,14,263,177
Falls,103,"Justice, Supreme Court, Place 4",4,DEM,Christine Vinh Weems,65,9,33,23
Falls,103,"Justice, Supreme Court, Place 4",4,,Under Votes,15,1,10,4
Falls,103,"Justice, Supreme Court, Place 4",4,,Over Votes,0,0,0,0
Falls,103,"Justice, Supreme Court, Place 6",6,REP,Jane Bland,449,13,263,173
Falls,103,"Justice, Supreme Court, Place 6",6,DEM,Bonnie Lee Goldstein,57,10,28,19
Falls,103,"Justice, Supreme Court, Place 6",6,LIB,J. David Roberson,16,1,6,9
Falls,103,"Justice, Supreme Court, Place 6",6,,Under Votes,11,0,9,2
Falls,103,"Justice, Supreme Court, Place 6",6,,Over Votes,1,0,0,1
Falls,103,"Presiding Judge, Court of Criminal Appeals",,REP,David J. Schenck,455,15,261,179
Falls,103,"Presiding Judge, Court of Criminal Appeals",,DEM,Holly Taylor,65,9,33,23
Falls,103,"Presiding Judge, Court of Criminal Appeals",,,Under Votes,14,0,12,2
Falls,103,"Presiding Judge, Court of Criminal Appeals",,,Over Votes,0,0,0,0
Falls,103,"Judge, Court of Criminal Appeals, Place 7",7,REP,Gina Parker,457,15,261,181
Falls,103,"Judge, Court of Criminal Appeals, Place 7",7,DEM,Nancy Mulder,61,9,31,21
Falls,103,"Judge, Court of Criminal Appeals, Place 7",7,,Under Votes,16,0,14,2
Falls,103,"Judge, Court of Criminal Appeals, Place 7",7,,Over Votes,0,0,0,0
Falls,103,"Judge, Court of Criminal Appeals, Place 8",8,REP,Lee Finley,461,16,263,182
Falls,103,"Judge, Court of Criminal Appeals, Place 8",8,DEM,Chika Anyiam,56,8,31,17
Falls,103,"Judge, Court of Criminal Appeals, Place 8",8,,Under Votes,16,0,11,5
Falls,103,"Judge, Court of Criminal Appeals, Place 8",8,,Over Votes,1,0,1,0
Falls,103,"Member, State Board of Education, District 10",10,REP,Tom Maynard,457,17,264,176
Falls,103,"Member, State Board of Education, District 10",10,DEM,Raquel Saenz Ortiz,62,7,31,24
